level,residual_drop,scale_drop,coefficient_bits,coefficients,cases,mae,mred,rmse,mae_change_pct,mred_change_pct,rmse_change_pct,cost_proxy,within_10pct
1,8,18,8,167 85,250000,0.012398010054624802,0.011954652424296323,0.016842479888959205,4.48118891408642,8.243698961949697,-13.157615531287437,236,yes
1,8,20,7,86 43,250000,0.019760415298882453,0.019446098008385072,0.025779998647111134,66.52605335589247,76.07518011366217,32.92558868263331,215,no
1,8,20,8,171 86,250000,0.01967158029304424,0.01946519860578764,0.025742537479796785,65.77741813247577,76.24812694991104,32.73243321407953,220,no
1,10,8,7,83 42,250000,0.011392968227920542,0.010754814805621035,0.015845486680402244,-3.988554576989023,-2.6202607241685105,-18.29826394535833,275,yes
1,10,8,8,166 84,250000,0.011392968227920542,0.010754814805621035,0.015845486680402244,-3.988554576989023,-2.6202607241685105,-18.29826394535833,292,yes
1,10,10,7,83 42,250000,0.011388891623631043,0.010751121150602314,0.015846899158029247,-4.022909159782751,-2.653705015790331,-18.290980996175875,261,yes
1,10,10,8,166 84,250000,0.011388891623631043,0.010751121150602314,0.015846899158029247,-4.022909159782751,-2.653705015790331,-18.290980996175875,276,yes
1,10,12,7,83 42,250000,0.011372937632898763,0.010736713291951078,0.01585306472922202,-4.157357503693493,-2.784161331806767,-18.259190374633082,247,yes
1,10,12,8,166 84,250000,0.011372937632898763,0.010736713291951078,0.01585306472922202,-4.157357503693493,-2.784161331806767,-18.259190374633082,260,yes
1,10,14,7,83 42,250000,0.011314015364751155,0.010684109427957614,0.01588481579238246,-4.653910466826483,-3.260464332199442,-18.095477070389997,233,yes
1,10,14,8,166 84,250000,0.011314015364751155,0.010684109427957614,0.01588481579238246,-4.653910466826483,-3.260464332199442,-18.095477070389997,244,yes
1,10,16,7,83 42,250000,0.011165781525747164,0.010563871710888748,0.01612895645098994,-5.903114788181185,-4.3491597445247,-16.83665075270896,219,yes
1,10,16,8,166 84,250000,0.011165781525747164,0.010563871710888748,0.01612895645098994,-5.903114788181185,-4.3491597445247,-16.83665075270896,228,yes
1,10,18,7,84 42,250000,0.013096943456789531,0.012540724469219795,0.017441342834585438,10.371278735613675,13.55030293077606,-10.069787223875826,205,no
1,10,18,8,167 85,250000,0.012398387408182051,0.01195587937068577,0.01684148066888653,4.484368968637797,8.254808378677847,-13.16276766175114,212,yes
1,10,20,7,86 43,250000,0.019765642420462852,0.01944471174443633,0.025786797482305186,66.57010364097147,76.06262815211416,32.96064450955154,191,no
1,10,20,8,171 86,250000,0.01967651910211952,0.01946436671386521,0.025748770570970456,65.81903873463142,76.24059456372161,32.76457197889928,196,no
1,12,8,7,83 42,250000,0.01139569068775312,0.010755676303588863,0.015847616031074513,-3.9656117144792002,-2.612460269301553,-18.287284689870475,251,yes
1,12,8,8,166 84,250000,0.01139569068775312,0.010755676303588863,0.015847616031074513,-3.9656117144792002,-2.612460269301553,-18.287284689870475,268,yes
1,12,10,7,83 42,250000,0.01139569068775312,0.010755676303588863,0.015847616031074513,-3.9656117144792002,-2.612460269301553,-18.287284689870475,237,yes
1,12,10,8,166 84,250000,0.01139569068775312,0.010755676303588863,0.015847616031074513,-3.9656117144792002,-2.612460269301553,-18.287284689870475,252,yes
1,12,12,7,83 42,250000,0.011379677129128364,0.010741212108191017,0.015853979654469986,-4.100562052193746,-2.743426687797268,-18.254472881088912,223,yes
1,12,12,8,166 84,250000,0.011379677129128364,0.010741212108191017,0.015853979654469986,-4.100562052193746,-2.743426687797268,-18.254472881088912,236,yes
1,12,14,7,83 42,250000,0.011320175066327105,0.010688117856912583,0.01588480441060759,-4.602001092565966,-3.2241699121098866,-18.095535756549985,209,yes
1,12,14,8,166 84,250000,0.011320175066327105,0.010688117856912583,0.01588480441060759,-4.602001092565966,-3.2241699121098866,-18.095535756549985,220,yes
1,12,16,7,83 42,250000,0.01116904301991615,0.010565521225982064,0.016125444999755534,-5.875629346008548,-4.334224168913048,-16.854756328618905,195,yes
1,12,16,8,166 84,250000,0.01116904301991615,0.010565521225982064,0.016125444999755534,-5.875629346008548,-4.334224168913048,-16.854756328618905,204,yes
1,12,18,7,84 42,250000,0.013107034409212947,0.01254828912349814,0.017451416900957712,10.456317762185584,13.618797281878404,-10.017843807536176,181,no
1,12,18,8,167 85,250000,0.01239965895362402,0.011954737372954103,0.016839372441576433,4.495084605982003,8.244468131693283,-13.173638001975252,188,yes
1,12,20,7,86 43,250000,0.019763558485145605,0.01944891529458213,0.025783958465521124,66.55254178720568,76.10068930189956,32.94600610780192,167,no
1,12,20,8,171 86,250000,0.01967209925485396,0.01946621542277488,0.025742188591549864,65.78179155584306,76.25733374471861,32.73063429328666,172,no
1,14,8,7,83 42,250000,0.01141357588917242,0.010760436386811907,0.015873656254456622,-3.8148885661656307,-2.5693599768679687,-18.153017342929324,227,yes
1,14,8,8,166 84,250000,0.01141357588917242,0.010760436386811907,0.015873656254456622,-3.8148885661656307,-2.5693599768679687,-18.153017342929324,244,yes
1,14,10,7,83 42,250000,0.01141357588917242,0.010760436386811907,0.015873656254456622,-3.8148885661656307,-2.5693599768679687,-18.153017342929324,213,yes
1,14,10,8,166 84,250000,0.01141357588917242,0.010760436386811907,0.015873656254456622,-3.8148885661656307,-2.5693599768679687,-18.153017342929324,228,yes
