candidate,mode,level,cases,mae,mred,rmse
residual_drop_4,MUL,3,1000000,0.0009766918146765888,0.0004702631537270481,0.0013022517702376145
joint_drop_4_no_round_lut,MUL,3,1000000,0.0009766908076118217,0.0004702625255439179,0.0013022508873525302
residual_drop_6,MUL,3,1000000,0.0009767763587432148,0.00047029380711866156,0.0013022970277372877
joint_drop_6_no_round_lut,MUL,3,1000000,0.0009767717854515456,0.000470291602226657,0.0013022948643020822
residual_drop_8,MUL,3,1000000,0.0009784754935711856,0.0004710692689695105,0.001303206508382636
joint_drop_8_no_round_lut,MUL,3,1000000,0.0009784559040504283,0.00047106017830110617,0.0013031964466223482
residual_drop_10,MUL,3,1000000,0.000998664576894492,0.0004802058620724081,0.0013173247167449597
joint_drop_10_no_round_lut,MUL,3,1000000,0.0009986094337126256,0.000480180605239559,0.001317283927096439
residual_drop_12,MUL,3,1000000,0.0012138934440807491,0.0005767439414358586,0.00152433679435778
joint_drop_12_no_round_lut,MUL,3,1000000,0.0012137530846788014,0.0005766795389211403,0.0015241978883554362
residual_drop_14,MUL,3,1000000,0.002988475730407124,0.0013852734660646574,0.0034308742788685216
joint_drop_14_no_round_lut,MUL,3,1000000,0.0029882170536833464,0.0013851531471869738,0.00343062867641225
residual_drop_16,MUL,3,1000000,0.011631448123181416,0.005376972013002922,0.012767554286037064
joint_drop_16_no_round_lut,MUL,3,1000000,0.011631162076199604,0.005376837697030087,0.012767284048624698
baseline,DIV,0,1000000,0.04360829239052949,0.042723145393701346,0.06843822959225318
scale_drop_2,DIV,0,1000000,0.043608324535459146,0.042723179454845425,0.06843827277796768
residual_drop_2,DIV,0,1000000,0.04360829213174765,0.042723144988873044,0.06843822956058195
joint_drop_2_no_round_lut,DIV,0,1000000,0.04360831361016219,0.042723167745221516,0.0684382583575693
scale_drop_4,DIV,0,1000000,0.04360845366366498,0.042723316257623566,0.06843844555935043
residual_drop_4,DIV,0,1000000,0.04360829090311882,0.04272314275259099,0.06843822948318752
joint_drop_4_no_round_lut,DIV,0,1000000,0.043608376793756586,0.042723233755164125,0.0684383447323118
scale_drop_6,DIV,0,1000000,0.0436089689547636,0.04272386222666328,0.0684391366294432
residual_drop_6,DIV,0,1000000,0.04360828434181394,0.042723128389285187,0.06843823541895781
joint_drop_6_no_round_lut,DIV,0,1000000,0.04360862767366039,0.04272349216327344,0.06843869624715142
scale_drop_8,DIV,0,1000000,0.043611047696340284,0.04272606442658206,0.06844192032845678
residual_drop_8,DIV,0,1000000,0.043608261375849326,0.04272311188362995,0.06843819965535955
joint_drop_8_no_round_lut,DIV,0,1000000,0.043609659857395025,0.04272459359109513,0.06844007604345824
scale_drop_10,DIV,0,1000000,0.04361938873992721,0.04273490113351245,0.06845309480282805
residual_drop_10,DIV,0,1000000,0.04360826717755057,0.04272310804907473,0.0684382224342793
joint_drop_10_no_round_lut,DIV,0,1000000,0.043613866913599364,0.042729041348996785,0.06844573027168181
scale_drop_12,DIV,0,1000000,0.04365303456271321,0.042770532982996115,0.06849785469223349
residual_drop_12,DIV,0,1000000,0.04360844900624369,0.04272258257949115,0.06843938275581386
joint_drop_12_no_round_lut,DIV,0,1000000,0.043631148951051794,0.042746616269397256,0.06846947443587115
scale_drop_14,DIV,0,1000000,0.04379081301112995,0.04291630504667017,0.0686778756674211
residual_drop_14,DIV,0,1000000,0.0436134746481811,0.042725952426184155,0.0684438130569934
joint_drop_14_no_round_lut,DIV,0,1000000,0.043704939002043953,0.04282283050619691,0.06856446288286097
scale_drop_16,DIV,0,1000000,0.044404753163119946,0.04356298989837905,0.06941348076416366
residual_drop_16,DIV,0,1000000,0.043694714178817345,0.0428062625408862,0.06847846461040502
