level,group,dataset,mode,count,mred,rmse,mae,max_relative
2,div_drop,random_200k,mul,200000,0.0026873334515061685,0.007134688479152465,0.005688753899621857,0.020004276719653956
2,div_drop,random_200k,div,200000,0.0035682774016631436,0.005105117794749976,0.0037783433336921143,0.03113542103033977
2,div_drop,boundary_grid,mul,131072,0.0034000756601373808,0.00893541268434974,0.007258305808595413,0.022173916863542247
2,div_drop,boundary_grid,div,131072,0.003466805186235801,0.004969832725418718,0.00367384739009376,0.030413465229969256
2,div_drop,signed,mul,2000,0.0027110635136203785,7501810.356925546,403652.5015028329,0.014430981432741262
2,div_drop,signed,div,2000,0.003529746185671014,2783810.583762599,203284.8553017641,0.023740506130959294
2,div_drop,cell_edges_diagonal,mul,10718,0.003859514683371949,0.009903754462515683,0.00803822045298971,0.022005027951670735
2,div_drop,cell_edges_diagonal,div,10718,0.0031014324219694944,0.004091090912948054,0.0031647571662439975,0.021484281681469125
2,div_drop,residual_boundaries,mul,166464,0.0035899134128000686,0.009268620018425808,0.007516947200058122,0.022173916863542247
2,div_drop,residual_boundaries,div,166464,0.004259024459758143,0.006138909980754396,0.004511349526324247,0.0334528289857411
2,div_drop,fresh_200k_seed_20260916,mul,200000,0.00268516408089875,0.007128601544133445,0.005679209346976361,0.02144100879006005
2,div_drop,fresh_200k_seed_20260916,div,200000,0.0035712668498122076,0.005100267577979413,0.003776040337107666,0.032498120773416087
3,mul_drop,random_200k,mul,200000,0.000471557283064349,0.0013070264983864792,0.0009820401795093102,0.003665206411288586
3,mul_drop,random_200k,div,200000,0.001600375221809079,0.002012597641219428,0.0016074794158908608,0.007917112092871806
3,mul_drop,boundary_grid,mul,131072,0.00047882561167232347,0.0013176191926528942,0.0009974329218507025,0.00377655029296875
3,mul_drop,boundary_grid,div,131072,0.0015983495994292712,0.002009718441107896,0.0016053862550376502,0.007949236076406945
3,mul_drop,signed,mul,2000,0.0004562618852515472,409786.15216597734,38761.52135324845,0.002966226094295805
3,mul_drop,signed,div,2000,0.0016047092093239054,1505633.7302507763,113291.15601086472,0.007475343417602424
3,mul_drop,cell_edges_diagonal,mul,10718,0.0006266699429208993,0.0017900037092742742,0.0012548140170256122,0.004013313707353616
3,mul_drop,cell_edges_diagonal,div,10718,0.001713604772453814,0.0019760692453273444,0.0017202395998713906,0.007858453775931364
3,mul_drop,residual_boundaries,mul,166464,0.000494002155520535,0.0016905291625843707,0.0009918721862754627,0.004019486949947353
3,mul_drop,residual_boundaries,div,166464,0.0017081611954811904,0.002192286693605995,0.001743491450759037,0.007979313520566257
3,mul_drop,fresh_200k_seed_20260916,mul,200000,0.00047325859951898155,0.0013088042333714936,0.0009853262856805258,0.0036080141636892554
3,mul_drop,fresh_200k_seed_20260916,div,200000,0.0015947626062927875,0.0020048717845216352,0.0016012996628644123,0.007873586596879131
3,div_drop,random_200k,mul,200000,0.0019006478079148003,0.005042290615411065,0.004099701619588876,0.009489859332582265
3,div_drop,random_200k,div,200000,0.002577343025913345,0.0034298097640357533,0.00266306401237925,0.013996464697655392
3,div_drop,boundary_grid,mul,131072,0.002824945895256594,0.0073790257599036626,0.006103381281723941,0.011116886424929402
3,div_drop,boundary_grid,div,131072,0.002432696375974936,0.003231345182497469,0.002514959190775158,0.012591163709338188
3,div_drop,signed,mul,2000,0.0018931588386925191,4295603.835225444,262067.86452279508,0.008344996429875556
3,div_drop,signed,div,2000,0.002539013006983132,1639436.9612941954,137410.65444620693,0.012826953703015122
3,div_drop,cell_edges_diagonal,mul,10718,0.0028954408828561146,0.007465187358415177,0.006217917755743561,0.010946087756433973
3,div_drop,cell_edges_diagonal,div,10718,0.002051802449439506,0.0027359674815137444,0.0020778943253585494,0.012695218343278695
