dataset,design,mode,bits,bias,cases,mae,mred,rmse,mean_error,max_abs,max_relative,p99_relative
boundary_grid,input_div_b5_bias0,div,5,0,589824,0.00883865518272306,0.008749103455790129,0.011148124106420621,-0.002741179914313798,0.05965887022409966,0.041903298337913036,0.02734363079071043
boundary_grid,input_div_b5_bias1,div,5,1,589824,0.008579550552505567,0.008337357892722365,0.010915072748530834,-0.0038932184885325477,0.050662763190991944,0.03693170685412163,0.02509549465883033
boundary_grid,input_div_b6_bias0,div,6,0,589824,0.004538064451925402,0.004498934962876847,0.0057303137611662185,-0.0014479975412669223,0.030528616820539867,0.022115269835870636,0.014239783401560407
boundary_grid,input_div_b6_bias1,div,6,1,589824,0.004413905497856443,0.004280844923197045,0.005644178296185958,-0.001995406598884111,0.025804808645537358,0.01893928053182897,0.013031421334539267
boundary_grid,input_div_b7_bias0,div,7,0,589824,0.0024761884290931814,0.0024427987509059576,0.0031609756288920373,-0.0007677893350901644,0.01544308013390605,0.011158434391280081,0.007860248597934768
boundary_grid,input_div_b7_bias1,div,7,1,589824,0.0024521003806397515,0.0023692430623272055,0.0031427760777262073,-0.0010119299600901644,0.013040748009314873,0.00961526836867915,0.007391563329680091
boundary_grid,input_div_b8_bias0,div,8,0,589824,0.0015554159644484815,0.001520430972542564,0.0020832007034538775,-0.00040819451316023296,0.007766665646197879,0.005730061896068029,0.004582942002617107
boundary_grid,input_div_b8_bias1,div,8,1,589824,0.0015955802336865804,0.0015196868754675725,0.0020934361046747447,-0.0005269865701975862,0.006628441534447305,0.004844843528196767,0.004175132207750762
boundary_grid,input_div_b9_bias0,div,9,0,589824,0.0007764394154358694,0.0007592099174264437,0.0010394567153639627,-0.00020599982907862564,0.003860415646197879,0.002857371866233236,0.002290371640762436
boundary_grid,input_div_b9_bias1,div,9,1,589824,0.0007970329506974971,0.0007592196285680512,0.0010463166408115896,-0.0002636482825261793,0.003336784922478353,0.0024317881581095726,0.002091140548147423
boundary_grid,input_div_b10_bias0,div,10,0,589824,0.00038801283002785035,0.0003794652026696862,0.0005195268141445017,-0.00010307129989555575,0.001907290646197879,0.0014409760876341353,0.001144354990579632
boundary_grid,input_div_b10_bias1,div,10,1,589824,0.0003988770654973609,0.0003798967508759608,0.0005235424632491109,-0.00013188724819644725,0.0016766925190769832,0.0012158347063276483,0.0010455097283780903
boundary_grid,input_div_b11_bias0,div,11,0,589824,0.00019406962454135077,0.0001898442066351391,0.0002597710630229889,-5.15412218420813e-05,0.0009479416110593775,0.0007190037256386473,0.0005734690975363626
boundary_grid,input_div_b11_bias1,div,11,1,589824,0.00019908754412462304,0.00018967319797733,0.00026150117177922813,-6.585171756305065e-05,0.0008386990439566144,0.0006078579804366864,0.0005225009384288985
