level,x_residual_drop,y_residual_drop,wn_drop,coefficient_bits,coefficients,cases,mae,mred,rmse,mae_change_vs_current_pct,mred_change_vs_current_pct,rmse_change_vs_current_pct,active_x_residual_bits,active_y_residual_bits,cost_proxy,within_2pct,within_5pct,is_current
2,18,18,16,8,203 136 97 73,250000,0.008588091404179087,0.008245012864256756,0.011176012733861809,123.7577433866027,125.42999590242916,108.39016388924519,5,5,60,no,no,no
2,18,19,16,8,200 134 96 73,250000,0.01340279501398838,0.012626238472862145,0.01723891713356573,249.20205506242104,245.2187321064888,221.44028933076729,5,4,54,no,no,no
2,18,20,16,8,195 131 95 71,250000,0.024244743484962982,0.02252061470103887,0.030958585194927765,531.6827378598343,515.744591713627,477.2599581068023,5,3,48,no,no,no
2,19,16,16,8,207 138 99 74,250000,0.011913573968723817,0.01196555439843802,0.01455260218448926,210.40126396580035,227.15472048609496,171.35072466876116,4,7,66,no,no,no
2,19,17,16,8,206 138 99 74,250000,0.012023717641505458,0.011983306495225146,0.014770783845704662,213.27099351454964,227.64008723710756,175.41898346740646,4,6,60,no,no,no
2,19,18,16,8,205 137 98 74,250000,0.012845908109610392,0.01266382260680443,0.016089890770699333,234.69268957237355,246.24633403993576,200.0153144517298,4,5,54,no,no,no
2,19,19,16,8,202 135 97 73,250000,0.016001404220955206,0.015411443964323137,0.02057807293720103,316.90731164732415,321.3700823668833,283.7028548576444,4,4,48,no,no,no
2,19,20,16,8,196 132 95 72,250000,0.025601743168936496,0.02395988121669063,0.0329000261349511,567.038578031085,555.096118517476,513.4604533377121,4,3,42,no,no,no
2,20,16,16,8,211 141 101 76,250000,0.022831948901653427,0.022822185680068215,0.027512177462821214,494.8731939283001,523.9899572074266,412.99755171683773,3,7,60,no,no,no
2,20,17,16,8,210 141 101 76,250000,0.02296920538424032,0.022916104247451167,0.02773788072477881,498.44933202038897,526.5578200608716,417.2060597840461,3,6,54,no,no,no
2,20,18,16,8,209 140 100 75,250000,0.023346803319097918,0.02328437927973171,0.0283845197835693,508.28742733573034,536.6269661476987,429.2634207272967,3,5,48,no,no,no
2,20,19,16,8,206 138 99 75,250000,0.024938902206971005,0.024587009180336766,0.03101309682374283,549.7686409876306,572.2426598998334,478.2763928168508,3,4,42,no,no,no
2,20,20,16,8,200 135 97 73,250000,0.03137526077835156,0.03017714997403226,0.04017890037513817,717.4642326831635,725.0848005931307,649.1837951021636,3,3,36,no,no,no
3,16,16,16,8,227 182 149 124 105 90 78 68,250000,0.002763970719036012,0.002787018631496943,0.003498321253071072,0.0,0.0,0.0,7,7,84,yes,yes,yes
3,16,17,16,8,226 181 148 124 105 90 78 68,250000,0.0038338812165201828,0.0036298937432356288,0.005016480532856328,38.709183498778984,30.24289476263626,43.39679434678874,7,6,78,no,no,no
3,16,18,16,8,225 180 148 123 104 89 78 68,250000,0.006540533639317561,0.006154052680544834,0.008320936906479871,136.6354170929386,120.81132185468798,137.85513978097836,7,5,72,no,no,no
3,16,19,16,8,222 178 146 122 103 89 77 67,250000,0.012043169240268384,0.0111892224123402,0.01531393604727311,335.7198561231022,301.47641231699725,337.7509936753082,7,4,66,no,no,no
3,17,16,16,8,228 182 149 124 105 90 78 69,250000,0.00443062773999927,0.004550185815911516,0.005416580041242017,60.29937327065955,63.263559291943224,54.833694489520155,6,7,78,no,no,no
3,17,17,16,8,227 182 149 124 105 90 78 68,250000,0.004440716868650447,0.004379971049482221,0.005634115033968345,60.664396263909495,57.15614527950548,61.0519625383839,6,6,72,no,no,no
3,17,18,16,8,225 181 148 123 105 90 78 68,250000,0.00684491253744082,0.006434893135732526,0.008835822452801428,147.6477949024046,130.8880558963563,152.57321479680357,6,5,66,no,no,no
3,17,19,16,8,222 178 146 122 104 89 77 68,250000,0.012259956340739519,0.011413984231472078,0.015628071120484918,343.5631772906558,309.54100925193615,346.730588471985,6,4,60,no,no,no
3,18,16,16,8,229 183 150 125 106 91 79 69,250000,0.006110635050506501,0.006086374936597109,0.007493141991452136,121.08175779219911,118.38300138410057,114.19250690239298,5,7,72,no,no,no
3,18,17,16,8,228 183 150 125 106 91 79 69,250000,0.006978317866248407,0.006844997616840407,0.008676748666186751,152.47437746671318,145.60286535163462,148.026068462686,5,6,66,no,no,no
3,18,18,16,8,226 181 149 124 105 90 78 68,250000,0.008227207417694882,0.008006034661557452,0.01050131793417871,197.65899331105362,187.26161250157517,200.1816349759164,5,5,60,no,no,no
3,18,19,16,8,223 179 147 123 104 89 77 68,250000,0.012975307771298216,0.01220766983836188,0.016612201645086037,369.44447283521174,338.0189533144595,374.8620965127968,5,4,54,no,no,no
3,19,16,16,8,231 185 152 126 107 92 79 70,250000,0.011731182669319907,0.01176810729266241,0.014192580090609795,324.43223397863574,322.247169777319,305.6968775566438,4,7,66,no,no,no
3,19,17,16,8,230 185 151 126 107 91 79 69,250000,0.01189644917400943,0.01193407459812393,0.014505201753899058,330.4115485766993,328.2021821904358,314.6332113200117,4,6,60,no,no,no
3,19,18,16,8,229 183 150 125 106 91 79 69,250000,0.012509939977871278,0.012378205625016825,0.015583186358089465,352.6075436224,344.1378857366424,345.4475512907641,4,5,54,no,no,no
3,19,19,16,8,225 181 148 124 105 90 78 69,250000,0.015839365462949194,0.01526674662807254,0.020260451927118835,473.06560282496326,447.780572958444,479.14783867641626,4,4,48,no,no,no
