family,top,level,bits,variant,wrapper,dataset,cases,rmse,mred,max_relative,area_um2,delay_ns,power_mw,adp_um2_ns,dc_report,pt_dir,status
dw,fig8_dw_d4,,19,RTZ,native_dw,uniform_10k,10000,1.0122999975905517e-06,8.197093033001158e-07,3.168539369979926e-06,14384.520075,8.80543,1.29199,126661.88460400724,experiments/pace_fig8_reverse/dc/fig8_dw_d4/fig8_dw_d4.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_dw_d4,pass
dw,fig8_dw_d8,,15,RTZ,native_dw,uniform_10k,10000,1.6031309423054903e-05,1.2905829393877324e-05,4.8783156917522044e-05,11450.880212,6.07156,0.643701,69524.70625997071,experiments/pace_fig8_reverse/dc/fig8_dw_d8/fig8_dw_d8.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_dw_d8,pass
dw,fig8_dw_d12,,11,RTZ,native_dw,uniform_10k,10000,0.0002559891726407568,0.00020664102913438675,0.0008523745962458918,2102.760011,9.91553,0.132974,20849.97997187083,experiments/pace_fig8_reverse/dc/fig8_dw_d12/fig8_dw_d12.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_dw_d12,pass
dw,fig8_dw_d14,,9,RTZ,native_dw,uniform_10k,10000,0.0010271954535838541,0.0008351342004293041,0.003594190356600718,1535.760009,7.46522,0.0873016,11464.786334386981,experiments/pace_fig8_reverse/dc/fig8_dw_d14/fig8_dw_d14.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_dw_d14,pass
dw,fig8_dw_d15,,8,RTZ,native_dw,uniform_10k,10000,0.002084229606767751,0.0016859776190171665,0.007456228378474358,1296.000008,6.15478,0.0688174,7976.594929238239,experiments/pace_fig8_reverse/dc/fig8_dw_d15/fig8_dw_d15.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_dw_d15,pass
dw,fig8_dw_d16,,7,RTZ,native_dw,uniform_10k,10000,0.004139280981852891,0.003357765480366948,0.013680968150276758,1076.400007,4.9766,0.0525592,5356.8122748362,experiments/pace_fig8_reverse/dc/fig8_dw_d16/fig8_dw_d16.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_dw_d16,pass
dw,fig8_dw_d17,,6,RTZ,native_dw,uniform_10k,10000,0.008198745420190763,0.006641507451679138,0.027113337217537822,884.160007,3.92408,0.039353900000000004,3469.5146002685597,experiments/pace_fig8_reverse/dc/fig8_dw_d17/fig8_dw_d17.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_dw_d17,pass
dw,fig8_dw_d18,,5,RTZ,native_dw,uniform_10k,10000,0.016187765729297875,0.013137359849879434,0.04993344305638885,714.960006,2.99424,0.0286504,2140.76184836544,experiments/pace_fig8_reverse/dc/fig8_dw_d18/fig8_dw_d18.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_dw_d18,pass
dw,fig8_dw_d18_common,,5,RTZ,common,uniform_10k,10000,0.016187765729297875,0.013137359849879434,0.04993344305638885,626.760005,2.99115,0.0287161,1874.7331889557502,experiments/pace_fig8_reverse/dc/fig8_dw_d18_common/fig8_dw_d18_common.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_dw_d18_common,pass
dw,fig8_dw_d18_rne,,5,RNE,native_dw,uniform_10k,10000,0.012374208941719401,0.009293829474575,0.03936148835388874,862.560011,3.77606,0.0354873,3257.0783551366603,experiments/pace_fig8_reverse/dc/fig8_dw_d18_rne/fig8_dw_d18_rne.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_dw_d18_rne,pass
