top,level,kind,bits,residual_drop,wn_drop,coefficient_bits,dataset,cases,rmse,mred,max_relative,mean_error
input_l2_mask_b7,2,mask,7,16,16,8,uniform_10k,10000,0.005335994536572752,0.0036550448943586666,0.02415865135880778,-0.0013639076611350373
input_l2_mask_b7,2,mask,7,16,16,8,boundaries,1733,0.005945215612348348,0.004044152608081649,0.021179140876480394,-0.00037229015364447854
input_l2_mask_b7,2,mask,7,16,16,8,signed_safe,100,1297.5882752317425,0.003910349068601847,0.017333040535528133,-97.43614428644577
input_l2_narrow_b7,2,narrow,7,16,16,8,uniform_100k,100000,0.005286910112230799,0.0036413991796571503,0.029231251009329478,-0.0013412161516495552
input_l2_narrow_b7,2,narrow,7,16,16,8,uniform_10k,10000,0.005335994536572752,0.0036550448943586666,0.02415865135880778,-0.0013639076611350373
input_l2_narrow_b7,2,narrow,7,16,16,8,boundaries,1733,0.005945215612348348,0.004044152608081649,0.021179140876480394,-0.00037229015364447854
input_l2_narrow_b7,2,narrow,7,16,16,8,signed_safe,100,1297.5882752317425,0.003910349068601847,0.017333040535528133,-97.43614428644577
input_l2_mask_b8,2,mask,8,16,16,8,uniform_100k,100000,0.005286910112230799,0.0036413991796571503,0.029231251009329478,-0.0013412161516495552
input_l2_mask_b8,2,mask,8,16,16,8,uniform_10k,10000,0.005335994536572752,0.0036550448943586666,0.02415865135880778,-0.0013639076611350373
input_l2_mask_b8,2,mask,8,16,16,8,boundaries,1733,0.005945215612348348,0.004044152608081649,0.021179140876480394,-0.00037229015364447854
input_l2_mask_b8,2,mask,8,16,16,8,signed_safe,100,1297.5882752317425,0.003910349068601847,0.017333040535528133,-97.43614428644577
input_l2_narrow_b8,2,narrow,8,16,16,8,uniform_100k,100000,0.005286910112230799,0.0036413991796571503,0.029231251009329478,-0.0013412161516495552
input_l2_narrow_b8,2,narrow,8,16,16,8,uniform_10k,10000,0.005335994536572752,0.0036550448943586666,0.02415865135880778,-0.0013639076611350373
input_l2_narrow_b8,2,narrow,8,16,16,8,boundaries,1733,0.005945215612348348,0.004044152608081649,0.021179140876480394,-0.00037229015364447854
input_l2_narrow_b8,2,narrow,8,16,16,8,signed_safe,100,1297.5882752317425,0.003910349068601847,0.017333040535528133,-97.43614428644577
input_l3_control_b23,3,control,23,16,16,8,uniform_100k,100000,0.003464444928480291,0.0027890733509097457,0.015964165580673716,-0.0011428970598526805
input_l3_control_b23,3,control,23,16,16,8,uniform_10k,10000,0.0034824887726597523,0.0027888256764275724,0.015323586204149852,-0.0011736854931662872
input_l3_control_b23,3,control,23,16,16,8,boundaries,1733,0.004249471745443175,0.003116184236718168,0.014325103149962465,-0.0022189470189971907
input_l3_control_b23,3,control,23,16,16,8,signed_safe,100,1409.6641904164412,0.0025282679955665344,0.010990695619177452,112.64602045815906
input_l3_mask_b4,3,mask,4,16,16,8,uniform_100k,100000,0.020976898260920463,0.015601443939776784,0.0612676021869015,0.0012279406476668508
input_l3_mask_b4,3,mask,4,16,16,8,uniform_10k,10000,0.021029941489156306,0.015623006747953494,0.05965852086083653,0.0010872428515602752
input_l3_mask_b4,3,mask,4,16,16,8,boundaries,1733,0.028194302831681103,0.020789125665851973,0.05990589354769327,-0.006722024346067301
