dataset,design,level,drop,retained_difference_fraction_bits,cases,mae,mred,rmse,mean_error,max_relative,author_normalizer_out_of_range_cases,equation27_normalized_rmse,equation27_mred
uniform_100k,pace_z_l4_d16,4,16,7,100000,0.004322302774396419,0.004189525640938446,0.005912331691596479,-0.0008804216265030644,0.2394140222463604,5,0.005851522066990595,0.004178430228806473
uniform_100k,pace_z_l4_d17,4,17,6,100000,0.005836176207874207,0.005664516383180623,0.007408506722028967,-0.003585462977821476,0.23744414887066018,5,0.007361142539224688,0.005653912791420285
uniform_100k,pace_z_l4_d18,4,18,5,100000,0.010260714558119482,0.010116855643657465,0.012710335011197938,-0.008959501063758899,0.23744414887066018,46,0.012478621150742246,0.010029221901853274
targeted_boundaries,pace_z_l1_d0,1,0,23,2869,0.0019799543224976214,0.001325630485860004,0.018149838110518995,-0.0013500644148491065,0.12500001490116297,0,0.01814983455403482,0.0013256189269018463
targeted_boundaries,pace_z_l1_d4,1,4,19,2869,0.0019800294785747197,0.001325701923122339,0.018149896368382205,-0.0013503959695810586,0.12500066310171265,0,0.018149896368382205,0.001325701923122339
targeted_boundaries,pace_z_l1_d8,1,8,15,2869,0.0019826052424416806,0.0013282119080987296,0.018151320633888256,-0.0013563124732958423,0.1250113919384117,0,0.018151320633888256,0.0013282119080987296
targeted_boundaries,pace_z_l1_d12,1,12,11,2869,0.002049602077871888,0.0013940817430309913,0.01817672249104591,-0.001460028627184937,0.12518305332559665,0,0.01817672249104591,0.0013940817430309913
targeted_boundaries,pace_z_l1_d14,1,14,9,2869,0.0023572156356107083,0.0016981768714225138,0.01827061330688376,-0.0018288349948217448,0.12573236976458846,0,0.01827061330688376,0.0016981768714225138
targeted_boundaries,pace_z_l1_d15,1,15,8,2869,0.0028313494464388606,0.002167873140309681,0.018422013681708527,-0.0023462191007820104,0.1264647916832442,0,0.018422013681708527,0.002167873140309681
targeted_boundaries,pace_z_l1_d16,1,16,7,2869,0.0038602091447984127,0.0031886227198161744,0.01881401845310124,-0.0034184295835286128,0.1279296355205557,0,0.01881401845310124,0.0031886227198161744
targeted_boundaries,pace_z_l1_d17,1,17,6,2869,0.006036594319726949,0.005350360331168973,0.019941506965542036,-0.005637735090673965,0.1308593231951787,0,0.019941506965542036,0.005350360331168973
targeted_boundaries,pace_z_l1_d18,1,18,5,2869,0.01054520410332319,0.009832030450121734,0.023351707817198482,-0.010226115188268953,0.13671869854442467,0,0.023351707817198482,0.009832030450121734
targeted_boundaries,pace_z_l2_d0,2,0,23,2869,0.0010486173872891714,0.0007214872690171158,0.00908588647605474,-0.0006750438903085804,0.06250006332993885,0,0.009085881384348337,0.0007214764169361632
targeted_boundaries,pace_z_l2_d4,2,4,19,2869,0.0010487046119937971,0.0007215703563998585,0.009085953459691914,-0.0006753818646415209,0.06250077858571879,0,0.009085953459691914,0.0007215703563998585
targeted_boundaries,pace_z_l2_d8,2,8,15,2869,0.0010515295813994191,0.0007243188667400355,0.009087616894845208,-0.0006815857337960165,0.06251329556186769,0,0.009087616894845208,0.0007243188667400355
targeted_boundaries,pace_z_l2_d12,2,12,11,2869,0.0011279327137989612,0.0007994383416956435,0.009118159020105546,-0.0007902800077835776,0.06271356718025012,0,0.009118159020105546,0.0007994383416956435
targeted_boundaries,pace_z_l2_d14,2,14,9,2869,0.001472786150713891,0.0011404096174549496,0.009241893812000936,-0.001176658713887621,0.0633544363590739,0,0.009241893812000936,0.0011404096174549496
targeted_boundaries,pace_z_l2_d15,2,15,8,2869,0.001994075949013162,0.0016569250965722529,0.009462494387786312,-0.0017185504880249528,0.0642089285975056,0,0.009462494387786312,0.0016569250965722529
targeted_boundaries,pace_z_l2_d16,2,16,7,2869,0.00310134632984065,0.0027552899015484762,0.01008213177696323,-0.002841137844246634,0.06591791307436902,0,0.01008213177696323,0.0027552899015484762
targeted_boundaries,pace_z_l2_d17,2,17,6,2869,0.005400475209799638,0.005037391973585539,0.01191237056175937,-0.00516392017258404,0.06933588202809585,0,0.01191237056175937,0.005037391973585539
targeted_boundaries,pace_z_l2_d18,2,18,5,2869,0.010153945622631264,0.009759340904116441,0.016998714874553275,-0.00996470006104692,0.07617181993554949,0,0.016998714874553275,0.009759340904116441
targeted_boundaries,pace_z_l3_d0,3,0,23,2869,0.0010937697133876659,0.0015939607211880801,0.009744739699205009,0.0003472668469768523,0.24609367572702467,15,0.004015182773962453,0.00038898274823838353
