top,level,kind,dataset,count,mred,rmse,mae,mean_error,max_relative,p99_relative
abs_l2_inherited_s5,2,quantized,cell_edges_diagonal,10718,0.0031014324219694944,0.004091090912948054,0.0031647571662439975,0.002144387838575639,0.021484281681469125,0.011213991495914575
abs_l2_inherited_s5,2,quantized,independent_200k,200000,0.0035671630136820437,0.005093651001862819,0.0037742209223786995,0.0003460339424205158,0.030856951995946333,0.01373278917032496
abs_l3_control,3,control,random_200k,200000,0.002794255451214877,0.003481541880022741,0.002761929132078032,-0.0011591258849457577,0.01643846842130861,0.009341153637816617
abs_l3_control,3,control,boundary_grid,131072,0.0026559288595691586,0.0032839296489154493,0.002611483885555373,-0.0011551385301496275,0.0136113011950176,0.0089669109539017
abs_l3_control,3,control,signed,2000,0.00285637039956104,1154784.3056376837,117809.50969836404,57663.427848487736,0.013166454775968253,0.009587674973699264
abs_l3_control,3,control,cell_edges_diagonal,10718,0.0015530096326690909,0.0026957619491990528,0.0015812990987649777,-0.0010436541089658801,0.015481277407621206,0.009668067417071961
abs_l3_control,3,control,independent_200k,200000,0.002784133277220086,0.0034666227983006902,0.002751750897250915,-0.0011495442130970623,0.01625856783671154,0.00929980462387802
abs_l3_no_w,3,unabsorbed,random_200k,200000,0.0024744933424632595,0.0033088434822011394,0.002563291258368427,0.0006743046341582458,0.012029085049673184,0.007587614675128426
abs_l3_no_w,3,unabsorbed,boundary_grid,131072,0.002328848648200242,0.003108052265841399,0.0024135548286527584,0.0006741280180071112,0.011246290631016247,0.006900006752714577
abs_l3_no_w,3,unabsorbed,signed,2000,0.0024572548331392888,1221643.1296005403,103613.72555740718,23716.65091804801,0.011313875968363493,0.007491035517596735
abs_l3_no_w,3,unabsorbed,cell_edges_diagonal,10718,0.0020261442349318684,0.002687563277962899,0.0020574302829206807,0.0008139148244288763,0.012336626300454265,0.00879142100521222
abs_l3_no_w,3,unabsorbed,independent_200k,200000,0.0024670411776747093,0.003306697650642414,0.002557026750916342,0.0006809451171946857,0.012113056345439615,0.00759631946786893
abs_l3_exact,3,exact,random_200k,200000,0.0024744933424632595,0.0033088434822011394,0.002563291258368427,0.0006743046341582458,0.012029085049673184,0.007587614675128426
abs_l3_exact,3,exact,boundary_grid,131072,0.002328848648200242,0.003108052265841399,0.0024135548286527584,0.0006741280180071112,0.011246290631016247,0.006900006752714577
abs_l3_exact,3,exact,signed,2000,0.0024572548331392888,1221643.1296005403,103613.72555740718,23716.65091804801,0.011313875968363493,0.007491035517596735
abs_l3_exact,3,exact,cell_edges_diagonal,10718,0.0020261442349318684,0.002687563277962899,0.0020574302829206807,0.0008139148244288763,0.012336626300454265,0.00879142100521222
abs_l3_exact,3,exact,independent_200k,200000,0.0024670411776747093,0.003306697650642414,0.002557026750916342,0.0006809451171946857,0.012113056345439615,0.00759631946786893
abs_l3_inherited_s4,3,quantized,random_200k,200000,0.002577343025913345,0.0034298097640357533,0.00266306401237925,0.0007045287476226013,0.013996464697655392,0.007977267145997986
abs_l3_inherited_s4,3,quantized,boundary_grid,131072,0.002432696375974936,0.003231345182497469,0.002514959190775158,0.000704049549684357,0.012591163709338188,0.0074109609244486065
abs_l3_inherited_s4,3,quantized,signed,2000,0.002539013006983132,1639436.9612941954,137410.65444620693,3532.997613782069,0.012826953703015122,0.008035027052508739
abs_l3_inherited_s4,3,quantized,cell_edges_diagonal,10718,0.002051802449439506,0.0027359674815137444,0.0020778943253585494,0.0007970814672843531,0.012695218343278695,0.008939529649299022
abs_l3_inherited_s4,3,quantized,independent_200k,200000,0.002568109157246237,0.003424442585680052,0.0026560386640470616,0.0007095031807017658,0.013456750475087587,0.00793084741897215
