candidate,reference,mred_change_pct,rmse_change_pct,area_change_pct,delay_change_pct,power_change_pct,adp_change_pct,both_errors_no_worse,strict_adp_win
stdm_tune_00_midpoint,oadm_fixed_l1_div_specialized,-57.91225854651447,-59.87770416107892,9.936306148435147,0.4076363380792092,-11.799988814030227,10.3844464810382,True,False
stdm_tune_04_midpoint,oadm_fixed_l1_div_specialized,-71.84587568964558,-71.68641189688853,30.764331482401808,2.475040597176137,13.932427672879921,34.00080177321725,True,False
stdm_tune_05_midpoint,oadm_fixed_l1_div_specialized,-70.85860158698229,-75.23408475341414,66.68789853143693,3.3742819201077134,-5.050767674965961,72.3124181545907,True,False
stdm_tune_00,oadm_fixed_l2_div_specialized,24.30172515927149,22.030115352890213,-8.680892229250025,-3.6646114824736786,-13.703111030574677,-12.027382738309445,False,False
stdm_tune_01,oadm_fixed_l2_div_specialized,40.69097810738904,28.199548285615595,6.304558449097497,6.22622132396744,-0.6900521369764823,12.92331553560464,False,False
stdm_tune_02,oadm_fixed_l2_div_specialized,-8.146993819865179,-6.900643933621009,2.2793405027782043,2.4347902359868057,2.158628050039768,4.7696278987715335,True,False
stdm_tune_03,oadm_fixed_l2_div_specialized,5.848298879900793,-13.048707632694956,19.883607986323113,8.064557392267302,4.109134563497729,29.551690356300874,False,False
stdm_tune_04,oadm_fixed_l2_div_specialized,-16.849750039608814,-13.88552549066141,9.262851556714114,2.8664154639514328,11.92461789978454,12.39477883009008,True,False
stdm_tune_05,oadm_fixed_l2_div_specialized,-13.93393964142563,-24.675609130296372,22.40543144678977,10.941206138507486,6.404200803972682,35.79806202611251,True,False
stdm_tune_06,oadm_fixed_l2_div_specialized,1069.2118982664329,962.2617548545729,-65.17943733413078,-35.75691568871817,-67.18661520033363,-77.63019656890292,False,False
stdm_tune_07,oadm_fixed_l2_div_specialized,919.8528509770593,805.9747863638443,-56.71677982742115,-23.871689259073804,-65.64875426868997,-67.04921564833992,False,False
stdm_tune_08,oadm_fixed_l2_div_specialized,960.7885294564593,810.0150929180097,-52.23084372937823,-24.867241436021892,-63.496122037565804,-64.10971515114434,False,False
stdm_tune_09,oadm_fixed_l2_div_specialized,946.004782607363,839.0355169572158,-50.33947599931543,-22.72811996330637,-61.514037544485646,-61.626379468597584,False,False
stdm_tune_10,oadm_fixed_l2_div_specialized,195.33949997446905,204.14539547488587,-23.860329933840994,-1.1980249765182638,-11.875052463415514,-24.772502198272186,False,False
stdm_tune_11,oadm_fixed_l2_div_specialized,164.87499489245522,138.6840749814969,-18.743937566543025,-4.308211843562349,-28.08534848365739,-22.244620871913632,False,False
stdm_tune_12,oadm_fixed_l2_div_specialized,165.701543911175,129.9859514907852,-2.4248299810231355,-4.0406846065851205,-19.993258034730456,-6.367534855829193,False,False
stdm_tune_13,oadm_fixed_l2_div_specialized,-37.38029429653324,-42.7241914023371,28.176527375501337,15.497209603204487,13.706308800663013,48.040312484991546,True,False
stdm_tune_00_narrow,oadm_fixed_l2_div_specialized,24.30172515927149,22.030115352890213,-9.26285135464492,-3.1193237262304607,-17.90511416705417,-12.093236760844473,False,False
stdm_tune_02_narrow,oadm_fixed_l2_div_specialized,-8.146993819865179,-6.900643933621009,1.9883609400807467,-2.877745169342538,-2.66987154291074,-0.9466041901640576,True,True
stdm_tune_04_narrow,oadm_fixed_l2_div_specialized,-16.849750039608814,-13.88552549066141,8.268671154030137,4.788445162398536,5.478579603822942,13.453057100298471,True,False
stdm_tune_05_narrow,oadm_fixed_l2_div_specialized,-13.93393964142563,-24.675609130296372,14.258002007351278,0.5383437432615601,-5.808882605862853,14.873102812333538,True,False
stdm_tune_06_narrow,oadm_fixed_l2_div_specialized,1069.2118982664329,962.2617548545729,-63.74878748636604,-33.736573385425615,-65.18227955705555,-75.97870439913476,False,False
stdm_tune_10_narrow,oadm_fixed_l2_div_specialized,195.33949997446905,204.14539547488587,-11.17846765663778,-0.8066019289737048,-10.859760460372303,-11.894903849863347,False,False
stdm_tune_13_narrow,oadm_fixed_l2_div_specialized,-37.38029429653324,-42.7241914023371,19.932104726044876,5.089961515549124,1.8662985677987187,26.036602701388635,True,False
stdm_tune_00_binary,oadm_fixed_l2_div_specialized,24.30172515927149,22.030115352890213,5.86808927344229,7.307294502900041,23.982742700756667,13.604182341245874,False,False
