level,dx,dy,w,b,input_bits,objective,coefficients,mae,mred,rmse,max_relative,p99_relative,cost_proxy
0,14,20,14,6,23,mse,29,0.053276842098410715,0.05280389384568831,0.0652010774722626,0.19906144449008217,0.14866912574469268,138
0,14,20,14,6,23,mred,28,0.04492419996167382,0.04269839742886419,0.06567861494239319,0.2266800153697345,0.17123065940426446,138
0,14,20,14,7,23,mse,57,0.0468906247804554,0.04566006443357479,0.06266054800788069,0.21287072992990835,0.15643120689362636,149
0,14,20,14,7,23,mred,56,0.04492419996167382,0.04269839742886419,0.06567861494239319,0.2266800153697345,0.17123065940426446,149
0,14,20,14,8,23,mse,114,0.0468906247804554,0.04566006443357479,0.06266054800788069,0.21287072992990835,0.15643120689362636,160
0,14,20,14,8,23,mred,112,0.04492419996167382,0.04269839742886419,0.06567861494239319,0.2266800153697345,0.17123065940426446,160
0,14,20,14,9,23,mse,228,0.0468906247804554,0.04566006443357479,0.06266054800788069,0.21287072992990835,0.15643120689362636,171
0,14,20,14,9,23,mred,224,0.04492419996167382,0.04269839742886419,0.06567861494239319,0.2266800153697345,0.17123065940426446,171
0,14,20,14,10,23,mse,456,0.0468906247804554,0.04566006443357479,0.06266054800788069,0.21287072992990835,0.15643120689362636,182
0,14,20,14,10,23,mred,448,0.04492419996167382,0.04269839742886419,0.06567861494239319,0.2266800153697345,0.17123065940426446,182
0,14,20,14,11,23,mse,913,0.047179806725129066,0.046005043344894594,0.06265606207483383,0.21200764958991922,0.15550624111171146,193
0,14,20,14,11,23,mred,896,0.04492419996167382,0.04269839742886419,0.06567861494239319,0.2266800153697345,0.17123065940426446,193
0,14,20,16,5,23,mse,14,0.04497414963791689,0.042733161278444495,0.0659992897845739,0.23144379350914066,0.17555239434689285,117
0,14,20,16,6,23,mse,29,0.052688242187617196,0.052195597030393545,0.06480458810919089,0.20399535756303855,0.1492906960239796,126
0,14,20,16,6,23,mred,28,0.04497414963791689,0.042733161278444495,0.0659992897845739,0.23144379350914066,0.17555239434689285,126
0,14,20,16,7,23,mse,57,0.04656209649192384,0.04531185245595932,0.06262990992666266,0.21771957553608962,0.16083011567451594,135
0,14,20,16,7,23,mred,56,0.04497414963791689,0.042733161278444495,0.0659992897845739,0.23144379350914066,0.17555239434689285,135
0,14,20,16,8,23,mse,114,0.04656209649192384,0.04531185245595932,0.06262990992666266,0.21771957553608962,0.16083011567451594,144
0,14,20,16,8,23,mred,112,0.04497414963791689,0.042733161278444495,0.0659992897845739,0.23144379350914066,0.17555239434689285,144
0,14,20,16,9,23,mse,228,0.04656209649192384,0.04531185245595932,0.06262990992666266,0.21771957553608962,0.16083011567451594,153
0,14,20,16,9,23,mred,224,0.04497414963791689,0.042733161278444495,0.0659992897845739,0.23144379350914066,0.17555239434689285,153
0,14,20,16,10,23,mse,457,0.04712215224574818,0.04598208763334871,0.06259624313499026,0.21600404828945824,0.15898983084046883,162
0,14,20,16,10,23,mred,448,0.04497414963791689,0.042733161278444495,0.0659992897845739,0.23144379350914066,0.17555239434689285,162
0,14,20,16,11,23,mse,914,0.04712215224574818,0.04598208763334871,0.06259624313499026,0.21600404828945824,0.15898983084046883,171
