top,dataset,count,mae,mred,rmse,max_relative,p99_relative
stdm_tune_09,grid_low,65536,0.03930100706426684,0.03819878311706217,0.049942424825288184,0.16376306620209058,0.12168285324171949
stdm_tune_09,grid_high,65536,0.0393489180276152,0.03825953216541993,0.049978291297041004,0.16341146902629733,0.12174719238249394
stdm_tune_09,signed,2000,1839267.7524542334,0.03822107414020177,23037759.097481422,0.1597944122370017,0.12364390414251211
stdm_tune_09,cell_boundaries,2304,0.043320736107765184,0.04195150656946165,0.05595895086661768,0.16666657836347987,0.13193330739310172
stdm_tune_09,diagonal,8414,0.03808849090801046,0.03808849090801046,0.04496570562419501,0.0625,0.0625
stdm_tune_09,independent_200k,200000,0.039488579763573776,0.03835026530255681,0.05013313977407078,0.16353147097657217,0.12214382337898078
stdm_tune_10,random_200k,200000,0.011393409298951903,0.010773303287989111,0.016165459704662467,0.0915832873823356,0.04915239002495803
stdm_tune_10,grid_low,65536,0.011353507805885156,0.01072723717596798,0.016204242131415046,0.08888381186162453,0.04927298594725867
stdm_tune_10,grid_high,65536,0.011373436753745443,0.010778381160710827,0.016069474806586704,0.09003935856964732,0.049624946948377636
stdm_tune_10,signed,2000,620096.1783366114,0.01115864559355656,9125523.363230437,0.0842524842001372,0.04967093952475421
stdm_tune_10,cell_boundaries,2304,0.012153416589345049,0.011353282401916992,0.01770496209794316,0.08053607135295898,0.05151383808550093
stdm_tune_10,diagonal,8414,0.009033203125,0.009033203125,0.009941051304444498,0.01318359375,0.01318359375
stdm_tune_10,independent_200k,200000,0.01137019228896806,0.010749147316913177,0.016142978326290094,0.0900132051331865,0.049254438857212514
stdm_tune_11,random_200k,200000,0.009941389999585019,0.009662028457513025,0.012686162123985286,0.05673071972438042,0.030212911908613777
stdm_tune_11,grid_low,65536,0.009917917137595097,0.00965737327044494,0.012640334429475408,0.054657794676806086,0.030164446518234703
stdm_tune_11,grid_high,65536,0.009924521993284707,0.009649299442911256,0.012678023548906306,0.05522015335720562,0.0304182255164143
stdm_tune_11,signed,2000,391906.0859305168,0.009708359902033527,4702671.349481569,0.04254289239980912,0.029649208545747405
stdm_tune_11,cell_boundaries,2304,0.013847522050294544,0.013372731545132225,0.018007522598897797,0.05371083132921462,0.038836523215232406
