level,dx,dy,w,b,input_bits,objective,coefficients,mae,mred,rmse,max_relative,p99_relative,cost_proxy,equivalent_dx,equivalent_dy,equivalence_mismatches
3,16,17,17,7,9,mse,113 91 74 62 52 45 39 34,0.005267674547849681,0.005124498351881175,0.006822651638101454,0.02384399117009479,0.016540969901861404,98,16,17,0
3,16,17,17,7,9,mred,114 91 74 62 53 45 39 34,0.005282172275668831,0.005049914677355416,0.006970657792958299,0.02384399117009479,0.01621428598885555,98,16,17,0
3,16,17,17,7,10,mse,113 91 74 62 52 45 39 34,0.005267674547849681,0.005124498351881175,0.006822651638101454,0.02384399117009479,0.016540969901861404,98,16,17,0
3,16,17,17,7,10,mred,114 91 74 62 53 45 39 34,0.005282172275668831,0.005049914677355416,0.006970657792958299,0.02384399117009479,0.01621428598885555,98,16,17,0
2,15,16,16,8,3,mse,200 135 97 73,0.030862584696099624,0.02970989610035142,0.03945410900364794,0.10546919319109245,0.08745310022072939,138,20,20,0
2,15,16,16,8,4,mse,202 135 97 73,0.01576668194435567,0.015210083971920333,0.02017721530391409,0.059901143544493385,0.04618564929844792,138,19,19,0
2,15,16,16,8,5,mse,203 136 97 73,0.008446805053815183,0.008142397892957554,0.010886571234006447,0.03807469043559503,0.02547714106852998,138,18,18,0
2,15,16,16,8,6,mse,203 136 97 73,0.005089678466498303,0.004903089965779096,0.006734922569099068,0.03074043988516901,0.017314624581463916,138,17,17,0
2,15,16,16,8,7,mse,203 136 97 73,0.0037803107706756867,0.003632736747064369,0.005219111040805611,0.02597111296979858,0.014762102313823857,138,16,16,0
2,15,16,16,8,8,mse,203 136 97 73,0.003560222971069186,0.0033491183816844574,0.004885156710513081,0.02597111296979858,0.01312822431813689,138,15,16,0
2,15,16,16,8,9,mse,203 136 97 73,0.003560222971069186,0.0033491183816844574,0.004885156710513081,0.02597111296979858,0.01312822431813689,138,15,16,0
2,15,16,16,8,10,mse,203 136 97 73,0.003560222971069186,0.0033491183816844574,0.004885156710513081,0.02597111296979858,0.01312822431813689,138,15,16,0
3,16,16,17,8,4,mse,226 181 149 124 105 90 78 69,0.015753519572634975,0.01520966534722892,0.020075855522443207,0.058005069245251575,0.04481261264883829,112,19,19,0
3,16,16,17,8,5,mse,227 182 149 124 105 90 78 69,0.008357521382362612,0.00818843576690148,0.010549102816979078,0.0334343443121468,0.024254041794232697,112,18,18,0
3,16,16,17,8,6,mse,227 182 149 124 105 90 78 68,0.005030141181461252,0.005080431433245424,0.006333584485013602,0.024486402476299504,0.016612471493451516,112,17,17,0
3,16,16,17,8,7,mse,228 182 149 124 105 90 78 68,0.0037553018571315462,0.0038622479068743183,0.0046022142544706116,0.01724834246178462,0.012072195203346823,112,16,16,0
3,16,16,17,8,8,mse,228 182 149 124 105 90 78 68,0.0037553018571315462,0.0038622479068743183,0.0046022142544706116,0.01724834246178462,0.012072195203346823,112,16,16,0
3,16,16,17,8,9,mse,228 182 149 124 105 90 78 68,0.0037553018571315462,0.0038622479068743183,0.0046022142544706116,0.01724834246178462,0.012072195203346823,112,16,16,0
3,16,16,17,8,10,mse,228 182 149 124 105 90 78 68,0.0037553018571315462,0.0038622479068743183,0.0046022142544706116,0.01724834246178462,0.012072195203346823,112,16,16,0
2,15,15,15,8,3,mse,200 135 97 73,0.030862584696099624,0.02970989610035142,0.03945410900364794,0.10546919319109245,0.08745310022072939,152,20,20,0
2,15,15,15,8,4,mse,202 135 97 73,0.01576668194435567,0.015210083971920333,0.02017721530391409,0.059901143544493385,0.04618564929844792,152,19,19,0
2,15,15,15,8,5,mse,202 136 97 73,0.008355449091084944,0.00803748498052089,0.010769052444064241,0.0393701209123802,0.02478884563454267,152,18,18,0
2,15,15,15,8,6,mse,203 136 97 73,0.005012110759645699,0.0047858604567493105,0.006626546572887897,0.02701251850011197,0.01608943323699715,152,17,17,0
2,15,15,15,8,7,mse,203 136 97 73,0.0036278316614973506,0.0034449205399840976,0.004953428889358447,0.02597111296979858,0.013269101801281815,152,16,16,0
2,15,15,15,8,8,mse,203 136 97 73,0.0032227019583938882,0.0030294143130814768,0.004529565835261463,0.022136353572041884,0.012960752778753856,152,15,15,0
2,15,15,15,8,9,mse,203 136 97 73,0.0032227019583938882,0.0030294143130814768,0.004529565835261463,0.022136353572041884,0.012960752778753856,152,15,15,0
2,15,15,15,8,10,mse,203 136 97 73,0.0032227019583938882,0.0030294143130814768,0.004529565835261463,0.022136353572041884,0.012960752778753856,152,15,15,0
