level,residual_drop,wn_drop,coefficient_bits,coefficients,cases,mae,mred,rmse,mae_change_vs_current_pct,mred_change_vs_current_pct,rmse_change_vs_current_pct,active_residual_bits,active_wn_bits,cost_proxy,within_2pct,within_5pct,is_current
2,20,18,8,201 136 98 74,250000,0.031528491113524626,0.030292751001022432,0.04037321807381607,721.4565602450259,728.2454917248187,652.8070816926825,3,7,92,no,no,no
2,20,19,8,203 136 98 74,250000,0.03189827506272115,0.030658560369355502,0.04091287487233828,731.0910666934013,738.2472231668506,662.8696300599775,3,6,84,no,no,no
2,20,20,8,207 138 99 74,250000,0.0336176960816869,0.03258147689275952,0.04296869608161711,775.8895846677271,790.8224066296792,701.202882618877,3,5,76,no,no,no
2,20,21,8,214 143 102 74,250000,0.043642504655834184,0.04217862759046636,0.05637502294475551,1037.0801611143545,1053.221711285473,951.1799288777386,3,4,68,no,no,no
2,20,22,8,230 150 107 77,250000,0.07586920793466713,0.0735390430572096,0.09666387999915325,1876.7282346027582,1910.6586184871564,1702.4139981659896,3,3,60,no,no,no
3,16,16,8,227 182 149 124 105 90 78 68,250000,0.002763970719036012,0.002787018631496943,0.003498321253071072,0.0,0.0,0.0,7,9,156,yes,yes,yes
3,16,17,8,228 182 149 124 105 90 78 68,250000,0.003746352983794618,0.003847765918897655,0.004612662494517399,35.54242662531646,38.060286910639384,31.853599507709028,7,8,148,no,no,no
3,16,18,8,229 183 150 125 106 90 78 69,250000,0.005524177555252084,0.005488846764751525,0.006792772094057178,99.86382334682429,96.94331077375668,94.17233589093644,7,7,140,no,no,no
3,16,19,8,231 185 151 126 106 91 79 69,250000,0.008612416473833973,0.008299660474963217,0.011019273881705942,211.59579276721573,197.79709332281587,214.98747783761854,7,6,132,no,no,no
3,16,20,8,235 188 153 127 108 92 80 70,250000,0.017018028567511785,0.016432697700165234,0.021614799912744384,515.7094375242568,489.6156385341071,517.8620643764318,7,5,124,no,no,no
3,16,21,8,245 194 158 131 110 94 82 71,250000,0.03456743910354857,0.03338449924638042,0.043888442812307214,1150.6441861151347,1097.8570530204597,1154.557247244771,7,4,116,no,no,no
3,16,22,8,255 209 168 139 116 99 85 74,250000,0.07358618295053956,0.07076570099112667,0.09413227962172582,2562.3358360396874,2439.118332090859,2590.784316594421,7,3,108,no,no,no
