top,dataset,cases,mae,mred,rmse,mean_relative,max_relative,p99_relative
oadm_fixed_l1_div_specialized,uniform_200k,200000,0.011393409298951903,0.010773303287989111,0.016165459704662467,-0.0026346244459485484,0.0915832873823356,0.04915239002495803
oadm_fixed_l1_div_specialized,retained_grid,65536,0.011353507805885156,0.01072723717596798,0.016204242131415046,-0.0026456211313329713,0.08888381186162453,0.04927298594725867
oadm_fixed_l1_div_specialized,retained_grid_low_ones,65536,0.011373436753745443,0.010778381160710827,0.016069474806586704,-0.0026444227416879975,0.09003935856964732,0.049624946948377636
oadm_fixed_l1_div_specialized,signed_exponents,2000,620096.1783366114,0.01115864559355656,9125523.363230437,-0.003383137069736436,0.0842524842001372,0.04967093952475421
oadm_fixed_l2_div_specialized,uniform_200k,200000,0.003818940097088761,0.0036477691906840848,0.00531504337898066,-0.0014636977447749322,0.02911428868703509,0.015134728214292853
oadm_fixed_l2_div_specialized,retained_grid,65536,0.0036744262315218336,0.0034874834362285754,0.005221797202285616,-0.0014720058923306733,0.026482370576969897,0.014984130859374936
oadm_fixed_l2_div_specialized,retained_grid_low_ones,65536,0.0037450665583110376,0.0036016206459635043,0.005162654442510549,-0.0014715169524639946,0.027206162324635637,0.014975011047474951
oadm_fixed_l2_div_specialized,signed_exponents,2000,202781.06486745228,0.0037087781276900645,2796911.9770385306,-0.0016470154116269308,0.023920583830752365,0.015085623338868126
oadm_fixed_l3_div_specialized,uniform_200k,200000,0.002761929132078032,0.002794255451214877,0.003481541880022741,-0.001448544066347215,0.01643846842130861,0.009341153637816617
oadm_fixed_l3_div_specialized,retained_grid,65536,0.002541629489103266,0.0025543683752929707,0.0032236382759693472,-0.0014472610897420953,0.013223492217898885,0.008490920513986365
oadm_fixed_l3_div_specialized,retained_grid_low_ones,65536,0.00268133828200748,0.0027574893438453464,0.0033431338806211857,-0.0014463286091147079,0.0136113011950176,0.009368885598386046
oadm_fixed_l3_div_specialized,signed_exponents,2000,117809.50969836404,0.00285637039956104,1154784.3056376837,-0.001578510013947192,0.013166454775968253,0.009587674973699264
fpd2d_8x8_t17_milp,uniform_200k,200000,0.00534443798138337,0.005282125493849375,0.006828300456487967,-1.6180564338703177e-05,0.03348568727899727,0.01741612470859932
fpd2d_8x8_t17_milp,retained_grid,65536,0.005206259404535192,0.005162549360159776,0.006624484492003309,-1.3143498299953593e-05,0.03064671814671823,0.01703407118055561
fpd2d_8x8_t17_milp,retained_grid_low_ones,65536,0.0053413089846074515,0.005273080967431547,0.006845469229145154,-1.2218030367055696e-05,0.03203120790994583,0.017377771103356546
fpd2d_8x8_t17_milp,signed_exponents,2000,337575.4753389376,0.005182923685769484,5511022.687634091,-5.014412352827985e-07,0.026407613671261713,0.017605526123981644
fpd2d_8x8_t16_milp,uniform_200k,200000,0.0040539336990210555,0.004095821204582157,0.00513437206916195,-6.937618120195102e-05,0.02769132959526885,0.014357118874610672
fpd2d_8x8_t16_milp,retained_grid,65536,0.0039023813980920996,0.00396979907804814,0.00494431556560872,-6.532969675787949e-05,0.02651214599609377,0.014130750432895195
fpd2d_8x8_t16_milp,retained_grid_low_ones,65536,0.004009192080906336,0.004048939078678383,0.0050853730608957405,-6.496105258119254e-05,0.02608704459680309,0.014291176354480755
fpd2d_8x8_t16_milp,signed_exponents,2000,253770.15087131475,0.004028124019652509,4014735.5804493716,-0.00014333345839931828,0.023053340423970007,0.01462940591688961
fpd2d_8x8_t15_milp,uniform_200k,200000,0.00365315827265433,0.0037354125780856974,0.004636033865589977,-9.366429048877967e-05,0.02524412676818874,0.013532475653053919
fpd2d_8x8_t15_milp,retained_grid,65536,0.0034903806201104855,0.003599234075850838,0.004465876849677367,-8.76217318628619e-05,0.024806976318359396,0.013297872340425523
fpd2d_8x8_t15_milp,retained_grid_low_ones,65536,0.0035777911570658997,0.0036588213791887516,0.004532895801215649,-8.754257300335545e-05,0.02310316463593392,0.013309662227154405
fpd2d_8x8_t15_milp,signed_exponents,2000,224979.79651609735,0.003700381751991317,3939455.950554153,-0.00012618664473046837,0.021376203800324154,0.01350945494947604
