dataset,design,mode,count,mred_pct,rmse,signed_mean,max_re_pct,p99_re_pct,exact_fraction
uniform,FPD2D_unquantized_LP_8x8,DIV,200000,0.0659141516072256,0.0011091219266875234,-0.000311923998917896,0.6275102574406369,0.336075358926452,0.0
grid8,input_mul_b3_half0,MUL,65536,8.103880186248096,0.19556541176150413,-0.17773818969726562,20.43608639172504,16.20294599018003,0.0009765625
grid8,input_div_realquot_b3_half0,DIV,65536,3.0796424681603125,0.041701641673287715,0.0028907021091763496,12.109375000000009,9.346572211518907,0.0078125
grid8,input_div_shortquot_b3_half0,DIV,65536,3.381174381212522,0.043956761361028926,-0.008093051550358561,13.937282229965156,10.202939411952492,0.00537109375
grid8,input_mul_b3_half1,MUL,65536,2.9592761518333055,0.0780284497328282,0.005855560302734375,12.890625,8.75,0.00103759765625
grid8,input_div_realquot_b3_half1,DIV,65536,2.9376457881148803,0.03921306242303321,-0.0008405017355534887,12.109375,8.479677357386342,0.00482177734375
grid8,input_div_shortquot_b3_half1,DIV,65536,3.2801558083530717,0.04300518060457522,-0.01492898905035856,12.891986062717766,9.650088028169009,0.0048675537109375
grid8,input_mul_b3_nearest,MUL,65536,2.9366635886064816,0.07797362182932911,0.0,11.418685121107266,8.423529411764706,0.0009765625
grid8,input_div_b3_nearest,DIV,65536,2.9393594399946714,0.03936404260961505,0.0015945246334944808,12.08791208791209,8.495930979897409,0.0076904296875
grid8,input_mul_b5_half0,MUL,65536,1.8810334113137668,0.04546035086937027,-0.040775299072265625,5.252352932672151,4.059782567803067,0.015625
grid8,input_div_realquot_b5_half0,DIV,65536,0.7564100930164923,0.010262165243159807,0.0007462810368078108,2.7343750000000098,2.272727272727276,0.020172119140625
grid8,input_div_shortquot_b5_half0,DIV,65536,0.8569851725827549,0.010902646054188173,-0.0028135105347335577,3.82604562737642,2.6516806166503724,0.005340576171875
grid8,input_mul_b5_half1,MUL,65536,0.7620890905212943,0.020194511566014532,0.005855560302734375,3.1494140625,2.279283016708629,0.015777587890625
grid8,input_div_realquot_b5_half1,DIV,65536,0.7293116432936051,0.00975328578146837,-0.00015632855402189115,2.734375000000001,2.0905445615811424,0.01904296875
grid8,input_div_shortquot_b5_half1,DIV,65536,0.8203756627266717,0.010772641658328672,-0.003965549108952308,3.3269961977186284,2.4370438087819526,0.0045928955078125
grid8,input_mul_b5_nearest,MUL,65536,0.7432477274452963,0.019766100420247616,0.0,3.0532544378698225,2.168623717338411,0.015625
grid8,input_div_b5_nearest,DIV,65536,0.7432913670683309,0.009956335302548077,0.0001242604102787889,3.078358208955235,2.1692508828524004,0.01971435546875
grid8,input_mul_b7_half0,MUL,65536,0.2705765950869177,0.007251983309384258,-0.005847930908203125,0.7766960892670592,0.6869155011172722,0.25
grid8,input_div_realquot_b7_half0,DIV,65536,0.15112953744173765,0.0021751217881254324,0.00010959707216238261,0.39062500000000944,0.38314176245211573,0.251953125
grid8,input_div_shortquot_b7_half0,DIV,65536,0.19163397448694597,0.0023992958820505603,-0.0008401199555099252,0.7311320754717018,0.5674298094720762,0.0089111328125
grid8,input_mul_b7_half1,MUL,65536,0.2717093615919268,0.0072581369835123056,0.005855560302734375,0.78277587890625,0.6916666666666667,0.25
grid8,input_div_realquot_b7_half1,DIV,65536,0.15112953744173765,0.002175553086361373,-0.00011342294519232503,0.3906250000000177,0.38314176245211373,0.251953125
grid8,input_div_shortquot_b7_half1,DIV,65536,0.18854630758595292,0.002491728817171122,-0.0010842605805099252,0.5791505791505791,0.4974048442906608,0.00518798828125
grid8,input_mul_b7_nearest,MUL,65536,0.21082983143672637,0.0059594362516435994,0.0,0.7766960892670592,0.657832035376245,0.25
grid8,input_div_b7_nearest,DIV,65536,0.21082884089358017,0.0030009855067680627,1.2857471642613034e-05,0.7782335907335935,0.6578751915439216,0.251953125
grid8,input_mul_b9_half0,MUL,65536,0.0,0.0,0.0,0.0,0.0,1.0
grid8,input_div_realquot_b9_half0,DIV,65536,0.0,0.0,0.0,0.0,0.0,1.0
grid8,input_div_shortquot_b9_half0,DIV,65536,0.025037695549686285,0.0002791307511178135,-0.00024052703139188316,0.09313163610037907,0.07041037619650961,0.0151519775390625
grid8,input_mul_b9_half1,MUL,65536,0.13561717872644963,0.0029538545192421585,0.0029268264770507812,0.19540786743164062,0.1831004697006126,0.0
grid8,input_div_realquot_b9_half1,DIV,65536,0.01554823206918771,0.00023074423241772516,-5.569838504287892e-05,0.04870874083130806,0.04396412175813853,0.00390625
grid8,input_div_shortquot_b9_half1,DIV,65536,0.027819653308578725,0.0003983652616656219,-0.0002986043071449044,0.07197771414342134,0.061369010836382354,0.00701904296875
grid8,input_mul_b9_nearest,MUL,65536,0.0,0.0,0.0,0.0,0.0,1.0
grid8,input_div_b9_nearest,DIV,65536,0.0,0.0,0.0,0.0,0.0,1.0
grid8,OAM_ideal_L0,MUL,65536,3.1386914058019744,0.08333587646484375,-3.814697265625e-06,25.0,16.137993769617026,0.0077972412109375
grid8,OAD_ideal_L0,DIV,65536,4.35408448133898,0.06985964404766232,-0.03983133280035856,32.94372558593749,23.125000000000007,0.0077972412109375
grid8,OAM_ideal_L1,MUL,65536,0.7631025283698636,0.02083587646484375,-3.814697265625e-06,6.25,3.4220532319391634,0.01556396484375
grid8,OAD_ideal_L1,DIV,65536,1.153147201764171,0.02036404617266532,-0.011183373616685088,9.766845703124998,5.87732388066919,0.012237548828125
grid8,OAM_ideal_L2,MUL,65536,0.1892623209694783,0.00521087646484375,-3.814697265625e-06,1.5625,0.8070783762778742,0.031005859375
grid8,OAD_ideal_L2,DIV,65536,0.29337524353571925,0.00538477401762866,-0.002899734225403339,2.648925781249996,1.5428240740740755,0.02044677734375
grid8,OAM_ideal_L3,MUL,65536,0.04721746951531115,0.00130462646484375,-3.814697265625e-06,0.390625,0.19962736225712005,0.0615234375
grid8,OAD_ideal_L3,DIV,65536,0.07365327298365476,0.0013686562555854172,-0.0007318285307716958,0.6677964154411807,0.39036913637441417,0.03509521484375
grid8,PLSAD_ideal_8planes,DIV,65536,0.8150802541983381,0.012208223245291553,0.0011690334105789418,4.8603057861328125,3.2903185309673773,0.0042572021484375
grid8,Mitchell_ideal,MUL,65536,3.848730994180833,0.10541126579881452,-0.08333206176757812,11.11111111111111,10.513344586458972,0.0077972412109375
grid8,Mitchell_ideal,DIV,65536,4.101745192253648,0.05840358740166477,0.043500728967219564,12.500000000000005,11.748505509022337,0.0077972412109375
grid8,FPD2D_unquantized_LP_2x4,DIV,65536,0.4143951130876551,0.006790252708750804,-0.0016747543488247537,3.589190124834649,1.9841350467429435,0.0
grid8,FPD2D_unquantized_LP_2x8,DIV,65536,0.19312502619895575,0.003037726035801239,-0.00048250706642406923,1.5893849271361875,0.83628691555385,3.0517578125e-05
grid8,FPD2D_unquantized_LP_4x8,DIV,65536,0.10424816293578779,0.0016941187623447235,-0.00042726889518565446,0.9425757909529615,0.5054194387744269,3.0517578125e-05
grid8,FPD2D_unquantized_LP_8x8,DIV,65536,0.06560560517448873,0.0011068899409521638,-0.0003104783834817201,0.6019958147229979,0.3319118749679593,1.52587890625e-05
diagonal,input_mul_b3_half0,MUL,200000,8.27567958533313,0.21819078585801424,-0.18479008119625628,20.986616127028935,19.545242487957054,0.0
diagonal,input_div_realquot_b3_half0,DIV,200000,0.0,0.0,0.0,0.0,0.0,1.0
diagonal,input_div_shortquot_b3_half0,DIV,200000,0.0,0.0,0.0,0.0,0.0,1.0
diagonal,input_mul_b3_half1,MUL,200000,4.340131546377053,0.11030612459515682,-0.0011619561962563163,12.88962914335967,11.061359772743835,0.0
diagonal,input_div_realquot_b3_half1,DIV,200000,0.0,0.0,0.0,0.0,0.0,1.0
diagonal,input_div_shortquot_b3_half1,DIV,200000,0.0,0.0,0.0,0.0,0.0,1.0
diagonal,input_mul_b3_nearest,MUL,200000,4.325717826740009,0.11020398843752066,0.0025458563037436843,12.106399770085401,10.805825717102305,0.0
diagonal,input_div_b3_nearest,DIV,200000,0.0,0.0,0.0,0.0,0.0,1.0
diagonal,input_mul_b5_half0,MUL,200000,2.141990914021613,0.05505015980354732,-0.04675992006344382,5.967800413937759,5.273620252103075,0.0
diagonal,input_div_realquot_b5_half0,DIV,200000,0.0,0.0,0.0,0.0,0.0,1.0
diagonal,input_div_shortquot_b5_half0,DIV,200000,0.0,0.0,0.0,0.0,0.0,1.0
diagonal,input_mul_b5_half1,MUL,200000,1.0851255810255442,0.027595753180102454,-0.00012255189938131602,3.148504137260945,2.7154799068510087,0.0
diagonal,input_div_realquot_b5_half1,DIV,200000,0.0,0.0,0.0,0.0,0.0,1.0
diagonal,input_div_shortquot_b5_half1,DIV,200000,0.0,0.0,0.0,0.0,0.0,1.0
diagonal,input_mul_b5_nearest,MUL,200000,1.0805928454732836,0.027523159838729473,0.00022620786624368399,3.100422295704078,2.7144992498522016,0.0
diagonal,input_div_b5_nearest,DIV,200000,0.0,0.0,0.0,0.0,0.0,1.0
diagonal,input_mul_b7_half0,MUL,200000,0.5390034307269189,0.013758692573327624,-0.011695167561002409,1.5440988418548367,1.3469759733866264,5e-06
diagonal,input_div_realquot_b7_half0,DIV,200000,0.0,0.0,0.0,0.0,0.0,1.0
diagonal,input_div_shortquot_b7_half0,DIV,200000,0.0,0.0,0.0,0.0,0.0,1.0
diagonal,input_mul_b7_half1,MUL,200000,0.27036410038813413,0.00688613320246845,1.0066508821808995e-05,0.7818868307980499,0.6788222867123992,1.5e-05
diagonal,input_div_realquot_b7_half1,DIV,200000,0.0,0.0,0.0,0.0,0.0,1.0
diagonal,input_div_shortquot_b7_half1,DIV,200000,0.0,0.0,0.0,0.0,0.0,1.0
diagonal,input_mul_b7_nearest,MUL,200000,0.2710536104503811,0.006891386843741229,-1.5576801725066006e-05,0.7795087361526124,0.6786186259348929,5e-06
diagonal,input_div_b7_nearest,DIV,200000,0.0,0.0,0.0,0.0,0.0,1.0
diagonal,input_mul_b9_half0,MUL,200000,0.13520522300598328,0.003446580708116929,-0.002929571991391814,0.3881561991346811,0.33942099421775224,8.5e-05
diagonal,input_div_realquot_b9_half0,DIV,200000,0.0,0.0,0.0,0.0,0.0,1.0
diagonal,input_div_shortquot_b9_half0,DIV,200000,0.0,0.0,0.0,0.0,0.0,1.0
diagonal,input_mul_b9_half1,MUL,200000,0.06784903256714964,0.0017246045554028817,-4.131893593433489e-07,0.19502676987031148,0.1699917933825418,5e-05
diagonal,input_div_realquot_b9_half1,DIV,200000,0.0,0.0,0.0,0.0,0.0,1.0
diagonal,input_div_shortquot_b9_half1,DIV,200000,0.0,0.0,0.0,0.0,0.0,1.0
diagonal,input_mul_b9_nearest,MUL,200000,0.06750530084610538,0.0017205970923475085,6.29882387482823e-07,0.19495545330691447,0.16981140397648972,8.5e-05
diagonal,input_div_b9_nearest,DIV,200000,0.0,0.0,0.0,0.0,0.0,1.0
diagonal,OAM_ideal_L0,MUL,200000,4.547150201483137,0.11177018173197067,-0.08326744960529389,24.999338395738437,23.542716935347503,0.0
diagonal,OAD_ideal_L0,DIV,200000,0.0,0.0,0.0,0.0,0.0,1.0
diagonal,OAM_ideal_L1,MUL,200000,1.0694665372201329,0.027966295997956706,-0.02084842978728596,6.249724332773589,5.648876281508919,0.0
diagonal,OAD_ideal_L1,DIV,200000,0.0,0.0,0.0,0.0,0.0,1.0
diagonal,OAM_ideal_L2,MUL,200000,0.262687875745486,0.006996452737705907,-0.005215701494194901,1.5623759508424298,1.297464129281726,0.0
diagonal,OAD_ideal_L2,DIV,200000,0.0,0.0,0.0,0.0,0.0,1.0
