top,family,level,drop,bits,shell,rounding,dataset,cases,rmse,mred,mean_error,max_relative,mae
fig8_dw_d4,dw,,4,19,native_dw,RTZ,signed_safe,100,0.2885800786713908,8.471517561397741e-07,0.02956785939716766,2.8150259047153076e-06,0.06228871478969534
fig8_dw_d8,dw,,8,15,native_dw,RTZ,signed_safe,100,4.259984337491677,1.1070888204183345e-05,-0.25102801773454375,3.934954249154686e-05,1.029816647817559
fig8_dw_d12,dw,,12,11,native_dw,RTZ,signed_safe,100,68.3103749512017,0.0002401948486531566,6.6785401524622205,0.0006939664572769773,15.78916219776042
fig8_dw_d14,dw,,14,9,native_dw,RTZ,signed_safe,100,416.22848676785736,0.0009068043840596184,16.736072500046692,0.002957809118255019,92.98510135773701
fig8_dw_d15,dw,,15,8,native_dw,RTZ,signed_safe,100,774.4536092147448,0.0016051382059365403,-20.414439268658025,0.004785918925174,171.37224694750878
fig8_dw_d16,dw,,16,7,native_dw,RTZ,signed_safe,100,1213.5113370898503,0.0031523419439343663,-33.15783038882639,0.010592129109692577,254.03427663214526
fig8_dw_d17,dw,,17,6,native_dw,RTZ,signed_safe,100,4697.768575465794,0.006144922887975365,-252.53853098709243,0.018804330865871584,903.6708136882047
fig8_dw_d18,dw,,18,5,native_dw,RTZ,signed_safe,100,3305.966728458976,0.011382755098025539,286.4220554574197,0.04089920809693086,814.1374854597905
fig8_dw_d18_common,dw,,18,5,common,RTZ,signed_safe,100,3305.966728458976,0.011382755098025539,286.4220554574197,0.04089920809693086,814.1374854597905
fig8_dw_d18_rne,dw,,18,5,native_dw,RNE,signed_safe,100,5126.345379001102,0.010200987019344656,565.2376063811397,0.028800847047516787,1137.7505664699884
fig8_pace_l3_d17_historical,pace,3,17,6,historical,author,signed_safe,100,3969.3997615470507,0.010878235113116738,478.30830574653965,0.03480394813856504,876.9513052639469
fig8_pace_l1_d18_delivered,pace,1,18,5,common_delivered_adders,author,signed_safe,100,18699.806985975756,0.029379869775644173,-568.6898168849583,0.11660022372004258,4089.0976153274755
fig8_pace_l2_d18_delivered,pace,2,18,5,common_delivered_adders,author,signed_safe,100,8829.401431044682,0.020988401896650067,1616.0360214051586,0.07714367502273625,1775.7505262042478
