top,family,level,drop,bits,shell,rounding,dataset,cases,rmse,mred,mean_error,max_relative,mae,area_um2,delay_ns,slack_ns,power_mw,dc_report,pt_dir,adp_um2_ns,status
fig8_dw_d14,dw,,14,9,native_dw,RTZ,uniform_10k,10000,0.0010271954535838541,0.0008351342004293041,-0.0006735115429709761,0.003594190356600718,0.0008354480681663575,1535.760009,7.46522,2.51478,0.0873016,experiments/pace_fig8_reverse/dc/fig8_dw_d14/fig8_dw_d14.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_dw_d14,11464.786334386981,pass
fig8_dw_d15,dw,,15,8,native_dw,RTZ,uniform_10k,10000,0.002084229606767751,0.0016859776190171665,-0.00136013263672098,0.007456228378474358,0.0016936717592428178,1296.000008,6.15478,3.82522,0.0688174,experiments/pace_fig8_reverse/dc/fig8_dw_d15/fig8_dw_d15.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_dw_d15,7976.594929238239,pass
fig8_dw_d16,dw,,16,7,native_dw,RTZ,uniform_10k,10000,0.004139280981852891,0.003357765480366948,-0.002701734199220976,0.013680968150276758,0.003368939457018854,1076.400007,4.9766,5.0034,0.0525592,experiments/pace_fig8_reverse/dc/fig8_dw_d16/fig8_dw_d16.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_dw_d16,5356.8122748362,pass
fig8_dw_d17,dw,,17,6,native_dw,RTZ,uniform_10k,10000,0.008198745420190763,0.006641507451679138,-0.005212281074220952,0.027113337217537822,0.006662364235591149,884.160007,3.92408,6.05592,0.039353900000000004,experiments/pace_fig8_reverse/dc/fig8_dw_d17/fig8_dw_d17.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_dw_d17,3469.5146002685597,pass
fig8_dw_d18,dw,,18,5,native_dw,RTZ,uniform_10k,10000,0.016187765729297875,0.013137359849879434,-0.010088062324220952,0.04993344305638885,0.013172011872789631,714.960006,2.99424,6.98576,0.0286504,experiments/pace_fig8_reverse/dc/fig8_dw_d18/fig8_dw_d18.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_dw_d18,2140.76184836544,pass
fig8_dw_d18_common,dw,,18,5,common,RTZ,uniform_10k,10000,0.016187765729297875,0.013137359849879434,-0.010088062324220952,0.04993344305638885,0.013172011872789631,626.760005,2.99115,6.98885,0.0287161,experiments/pace_fig8_reverse/dc/fig8_dw_d18_common/fig8_dw_d18_common.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_dw_d18_common,1874.7331889557502,pass
fig8_dw_d18_rne,dw,,18,5,native_dw,RNE,uniform_10k,10000,0.012374208941719401,0.009293829474575,0.0010838126757790232,0.03936148835388874,0.00965038142075884,862.560011,3.77606,6.20394,0.0354873,experiments/pace_fig8_reverse/dc/fig8_dw_d18_rne/fig8_dw_d18_rne.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_dw_d18_rne,3257.0783551366603,pass
fig8_pace_l3_d17_historical,pace,3,17,6,historical,author,uniform_10k,10000,0.015693120852821176,0.011359434043612364,-0.009539624824220943,0.045018462480954965,0.012112377346395012,704.880004,1.67613,8.30387,0.0308484,experiments/pace_fig8_reverse/dc/fig8_pace_l3_d17_historical/fig8_pace_l3_d17_historical.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l3_d17_historical,1181.47052110452,pass
fig8_pace_l1_d18_delivered,pace,1,18,5,common_delivered_adders,author,uniform_10k,10000,0.05089347221623102,0.030773826985191596,-0.014422437324220959,0.14244839498121858,0.033738752317658494,304.920002,1.16772,8.81228,0.0128265,experiments/pace_fig8_reverse/dc/fig8_pace_l1_d18_delivered/fig8_pace_l1_d18_delivered.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l1_d18_delivered,356.06118473544007,pass
fig8_pace_l2_d18_delivered,pace,2,18,5,common_delivered_adders,author,uniform_10k,10000,0.031487526643938335,0.021380919233362355,-0.011541187324220943,0.10047711911168485,0.023040631451922786,402.480002,1.38475,8.59525,0.017661800000000002,experiments/pace_fig8_reverse/dc/fig8_pace_l2_d18_delivered/fig8_pace_l2_d18_delivered.dc.rpt,experiments/pace_fig8_reverse/pt/fig8_pace_l2_d18_delivered,557.3341827695,pass
